city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Lone Grove,OK,32869.31584,49459.52291,25,394,5182,53,7721,10995272,926869
Lone Oak,TX,585.3747835,973.9990249,14,144,1711,13,1921,2290670,230661
Lone Rock,WI,2028.108381,4650.24476,18,109,967,15,2249,1262339,269922
Lone Star,TX,5375.254459,6229.695867,23,1132,13495,30,4577,28634500,549428
Lone Tree,CO,413849.3736,827560.4948,212,4625,50213,658,119886,87989116,14391480
Lone Tree,IA,1650.826741,2763.649728,13,179,1962,53,8833,2123413,1060307
Lone Wolf,OK,1015.406774,1511.828089,10,87,1145,18,2586,2430367,310377
Long Beach,CA,8788782.359,16651957.28,5468,91733,712853,8768,1144095,954517548,137340259
Long Beach,IN,1234.493504,2338.329529,30,299,2538,58,9814,4326602,1178086
Long Beach,MN,957.6631954,953.4563092,9,92,923,10,1558,999232,187085
Long Beach,MS,62783.87575,94672.27181,309,5880,58821,599,78844,93339020,9464605
Long Beach,NJ,33956.68689,54896.16324,158,2091,14731,586,56088,28388004,6733012
Long Beach,NY,63416.93092,128611.1968,683,12117,74501,2642,400089,138990566,48027791
Long Beach,WA,24142.9198,42391.24948,158,2114,24710,0,0,30478090,0
Long Branch,NJ,375748.2228,803391.5375,624,10782,92140,4572,437375,177566091,52503642
Long Creek,IL,3887.692604,6936.34079,33,372,4183,0,0,4273058,0
Long Creek,OR,492.0642571,947.0179202,5,36,453,0,0,558163,0
Long Grove,IA,124.2037549,134.7201863,4,278,3039,34,5674,3289732,681089
Long Grove,IL,51905.06113,84097.55924,67,716,8198,325,51630,13977342,6197758
Long Hill,NJ,146625.3806,239590.6913,189,1858,15880,664,91768,30602709,11016103
Long Island,KS,511.8577851,611.7646756,2,18,152,8,1156,272973,138773
Long Island,ME,2890.356761,3520.169924,10,48,401,8,756,435666,90774
Long Lake,MN,12142.96273,19890.64882,33,398,4012,279,46391,4342840,5568945
Long Lake,NY,25389.70548,41640.51589,13,94,894,0,0,1609945,0
Long Pine,NE,1537.474102,2045.098379,11,179,1510,0,0,1634180,0
Long Point,IL,225.7580311,163.4844745,3,21,242,9,1553,413126,186460
Long Prairie,MN,19723.15787,49333.93625,77,409,4480,64,10433,4848577,1252384
Longdale,OK,90.92873479,179.5809351,9,92,1205,21,3067,2557519,368206
Longford,KS,634.2624628,884.262426,1,11,113,1,88,203586,10605
Longmeadow,CT,71041.51186,167180.4807,327,4655,31107,753,87943,33759845,10556889
Longmeadow,MA,142083.0237,334360.9615,327,4655,31107,753,87943,33759845,10556889
Longmont,CO,180258.5898,339036.9684,1180,24486,289831,2624,481197,507873875,57764185
Longport,NJ,1364.748402,2914.84774,33,398,2781,84,8654,5358760,1038856
Longswamp,PA,13700.67625,25718.7027,68,313,3656,152,18674,7045305,2241621
Longton,KS,809.2113576,1493.823809,4,47,466,4,682,838468,81896
Longview,IL,716.6857123,673.5789039,2,18,202,5,656,206823,78711
Longview,TX,569844.6313,1124835.168,1715,29161,347564,2384,362235,737482511,43483674
Longview,WA,211948.5151,422491.3419,533,11483,136631,1960,224231,168523266,26917343
Longville,MN,3943.973822,5590.917354,15,115,1047,24,4148,1132855,497898
Lonoke,AR,11155.03403,18423.46589,92,1737,21029,700,110133,33555025,13220673
Lonsdale,MN,5014.566757,7235.012841,74,505,5136,199,33059,5558995,3968539
Loogootee,IN,8583.263071,13040.3691,102,1168,13095,158,25256,22326096,3031740
Loomis,CA,51346.576,79738.54252,151,2466,13296,473,57144,17803368,6859686
Loomis,NE,1016.223534,1273.037963,7,28,275,0,0,297988,0
Lopatcong,NJ,27391.39647,49193.89821,132,1626,13891,377,45086,26769928,5412206
Lorain,OH,336291.7773,568636.5686,964,13359,132469,2888,510314,225846324,61259415
Loraine,IL,310.6641284,294.7665629,4,29,325,6,1017,332413,122026
Loraine,ND,446.4447127,517.935379,2,47,512,2,422,554063,50618
