,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
55444,Reeves,76.0,299.0,132.0,1178.0,7.0,558.0,1879734.0,66992.0,LA
55445,Sulphur,7981.0,20198.0,12794.0,124739.0,1333.0,123223.0,199039346.0,14791979.0,LA
55448,Vinton,1277.0,3367.0,2108.0,20546.0,202.0,18711.0,32783464.0,2246111.0,LA
55449,Orange,7935.0,19128.0,10606.0,109578.0,1675.0,141492.0,174848053.0,16985100.0,LA
55451,Westlake,1906.0,4611.0,3022.0,29463.0,372.0,33965.0,47013141.0,4077197.0,LA
55452,Central,10168.0,28017.0,14872.0,166973.0,2926.0,227101.0,266428796.0,27261756.0,LA
55453,Addis,1554.0,4420.0,2506.0,25333.0,468.0,37481.0,40422063.0,4499375.0,LA
55454,Albany,445.0,1429.0,638.0,7326.0,59.0,4570.0,11689592.0,548619.0,LA
55455,Zachary,5453.0,16154.0,9689.0,99695.0,1401.0,108711.0,159078462.0,13049976.0,LA
55456,Baker,5053.0,13754.0,8333.0,85738.0,1397.0,110196.0,136807527.0,13228250.0,LA
55458,Brusly,1090.0,2675.0,1716.0,17224.0,330.0,26082.0,27483125.0,3130972.0,LA
55460,St. Gabriel,1370.0,6984.0,1789.0,20543.0,302.0,23419.0,32779889.0,2811286.0,LA
55461,Clinton,675.0,1340.0,1140.0,11734.0,128.0,9929.0,18723238.0,1191946.0,LA
55462,Walker,2535.0,6256.0,4406.0,45327.0,400.0,31076.0,72326018.0,3730464.0,LA
55463,Denham Springs,3790.0,10278.0,6245.0,64248.0,929.0,72124.0,102516720.0,8657912.0,LA
55464,Port Vincent,351.0,919.0,616.0,6342.0,56.0,4314.0,10119645.0,517864.0,LA
55466,Fordoche,380.0,934.0,615.0,6627.0,119.0,9585.0,10574227.0,1150609.0,LA
55470,Gonzales,4046.0,10492.0,6056.0,62760.0,728.0,56557.0,100142205.0,6789309.0,LA
55471,Sorrento,581.0,1669.0,951.0,9827.0,80.0,6237.0,15679730.0,748750.0,LA
55474,Grosse Tete,238.0,694.0,357.0,3539.0,66.0,5311.0,5647067.0,637571.0,LA
55475,Rosedale,302.0,925.0,434.0,4307.0,90.0,7253.0,6872749.0,870642.0,LA
55476,Livingston,683.0,1816.0,1204.0,12388.0,92.0,7159.0,19767568.0,859340.0,LA
55479,Wilson,216.0,559.0,373.0,3833.0,39.0,3012.0,6116885.0,361603.0,LA
55480,Jackson,710.0,3795.0,1219.0,12541.0,113.0,7888.0,20010813.0,946928.0,LA
55481,Krotz Springs,345.0,990.0,582.0,5442.0,49.0,3926.0,8683909.0,471230.0,LA
55482,Simmesport,641.0,1877.0,1076.0,9451.0,128.0,10324.0,20054734.0,1239350.0,LA
55487,Livonia,550.0,1849.0,888.0,9552.0,169.0,13696.0,15240925.0,1644077.0,LA
55489,Maringouin,378.0,880.0,543.0,5387.0,112.0,9071.0,8595832.0,1088923.0,LA
55492,Morganza,262.0,888.0,389.0,3863.0,33.0,3501.0,6163232.0,420329.0,LA
55494,New Roads,1798.0,4716.0,2671.0,27001.0,198.0,20762.0,43083638.0,2492327.0,LA
55496,Norwood,144.0,287.0,249.0,2567.0,27.0,2127.0,4095844.0,255275.0,LA
55498,Plaquemine,2498.0,6920.0,3632.0,36513.0,835.0,65582.0,58262211.0,7872675.0,LA
55500,Port Allen,2187.0,5123.0,2896.0,28733.0,760.0,62606.0,45847287.0,7515368.0,LA
55501,Baton Rouge,87212.0,228694.0,127234.0,1314726.0,17697.0,1450468.0,2097835812.0,174118142.0,LA
55509,St. Francisville,668.0,2064.0,1146.0,11796.0,108.0,7522.0,18821770.0,902922.0,LA
55512,Slaughter,393.0,1322.0,677.0,6963.0,101.0,7864.0,11109990.0,944014.0,LA
55517,White Castle,648.0,2292.0,842.0,9798.0,173.0,13967.0,15633480.0,1676664.0,LA
55550,Arcadia,1128.0,2893.0,1463.0,17005.0,365.0,30152.0,27133538.0,3619586.0,LA
55551,Athens,102.0,276.0,143.0,1662.0,20.0,1631.0,2651451.0,195752.0,LA
55552,Belcher,90.0,308.0,133.0,1361.0,31.0,2598.0,2887672.0,311900.0,LA
55553,Benton,689.0,1909.0,926.0,9447.0,191.0,15791.0,20045550.0,1895649.0,LA
55554,Bienville,99.0,188.0,142.0,1649.0,23.0,1894.0,2631439.0,227366.0,LA
55555,Lucky,87.0,291.0,124.0,1442.0,20.0,1656.0,2300440.0,198767.0,LA
55556,Bryceland,54.0,98.0,72.0,838.0,13.0,1075.0,1336938.0,129046.0,LA
55558,Castor,102.0,275.0,144.0,1639.0,14.0,1121.0,2615475.0,134627.0,LA
55559,Ashland,99.0,236.0,144.0,1556.0,16.0,1291.0,2482139.0,154937.0,LA
55560,Cotton Valley,439.0,1139.0,543.0,6170.0,153.0,12640.0,9844734.0,1517397.0,LA
55561,Edgefield,81.0,214.0,121.0,1137.0,24.0,1877.0,2411528.0,225371.0,LA
55562,Coushatta,691.0,2406.0,1030.0,9642.0,205.0,15928.0,20459089.0,1912022.0,LA
55563,Martin,218.0,635.0,335.0,3618.0,36.0,3003.0,7676154.0,360446.0,LA
55565,Cullen,473.0,1024.0,541.0,6140.0,162.0,13422.0,9798026.0,1611252.0,LA
55566,Doyline,271.0,839.0,334.0,3788.0,56.0,4642.0,6045080.0,557237.0,LA
55567,Dubberly,104.0,224.0,131.0,1491.0,26.0,2131.0,2379403.0,255770.0,LA
55569,Mount Lebanon,37.0,41.0,49.0,569.0,9.0,730.0,908432.0,87685.0,LA
55570,Gibsland,369.0,956.0,493.0,5736.0,89.0,7360.0,9152882.0,883472.0,LA
55571,Gilliam,57.0,102.0,86.0,873.0,18.0,1528.0,1852695.0,183432.0,LA
55572,Goldonna,131.0,395.0,192.0,2071.0,21.0,1718.0,3304147.0,206247.0,LA
55573,Grand Cane,103.0,250.0,169.0,1579.0,19.0,1484.0,3349996.0,178173.0,LA
55574,Greenwood,1269.0,3214.0,1886.0,19240.0,340.0,28737.0,40824624.0,3449703.0,LA
55575,Shreveport,77059.0,198571.0,102036.0,1040548.0,23805.0,2235056.0,2207898122.0,268302139.0,LA
55576,Hall Summit,112.0,294.0,172.0,1857.0,19.0,1541.0,2962484.0,184984.0,LA
