state_id,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,elec_degree,gas_degree
PA,Altoona,18546.0,45209.0,21075.0,140444.0,12663.0,1195013.0,222856152.36,143452531.0,3,2
PA,Ambler,2644.0,6507.0,3544.0,23966.0,1087.0,122415.0,46185124.0,14695055.0,1,1
PA,Ambridge,3064.0,6891.0,3783.0,24363.0,2481.0,241074.0,41535862.0,28939178.0,1,1
PA,Amity,4830.0,13219.0,7498.0,55167.0,1400.0,155206.0,106313417.0,18631334.0,2,1
PA,Amwell,1513.0,3773.0,2431.0,20799.0,563.0,54701.0,35460753.0,6566417.0,1,1
PA,Annin,306.0,716.0,353.0,2625.0,196.0,23120.0,5059587.0,2775343.0,1,1
PA,Annville,1430.0,4748.0,1857.0,13764.0,276.0,30148.0,26525143.0,3619054.0,1,1
PA,Anthony,790.0,2205.0,1292.0,9609.0,93.0,10186.0,18518603.0,1222735.0,1,1
PA,Antis,2478.0,6462.0,3871.0,26179.0,834.0,78731.0,50449644.0,9451137.0,1,1
PA,Antrim,5263.0,14721.0,10177.0,87072.0,801.0,64424.0,148448569.0,7733643.0,2,1
PA,Apolacon,215.0,577.0,343.0,2287.0,33.0,3127.0,4406641.0,375368.0,1,1
PA,Apollo,679.0,1567.0,762.0,6520.0,442.0,49804.0,11115470.0,5978562.0,1,1
PA,Applewold,167.0,341.0,206.0,1752.0,96.0,11302.0,2986375.0,1356666.0,1,1
PA,Ararat,259.0,689.0,405.0,2891.0,45.0,5070.0,5571972.0,608572.0,1,1
PA,Archbald,2824.0,7036.0,3812.0,27865.0,1808.0,205882.0,53700062.0,24714617.0,1,1
PA,Arendtsville,362.0,978.0,552.0,4109.0,91.0,7351.0,7919368.0,882473.0,1,1
PA,Armagh,1457.0,3997.0,2187.0,16399.0,185.0,15079.0,31603125.0,1810029.0,1,1
PA,Armenia,162.0,435.0,216.0,1441.0,89.0,7799.0,2777895.0,936221.0,1,1
PA,Armstrong,1411.0,3791.0,2036.0,15581.0,457.0,51162.0,30027533.0,6141610.0,1,1
PA,Arnold,2392.0,5019.0,2253.0,19278.0,1699.0,191299.0,32866856.0,22964055.0,1,1
PA,Arona,156.0,383.0,194.0,1661.0,111.0,8770.0,2832657.0,1052800.0,1,1
PA,Ashland,2450.0,5836.0,3094.0,23410.0,843.0,86446.0,44294814.0,10377225.0,1,1
PA,Ashley,1162.0,2737.0,1379.0,10081.0,615.0,70011.0,19427188.0,8404324.0,1,1
PA,Ashville,96.0,182.0,137.0,923.0,10.0,977.0,1778798.0,117339.0,1,1
PA,Aspinwall,1269.0,2773.0,1554.0,10010.0,861.0,96904.0,17065498.0,11632589.0,1,1
PA,Aston,6030.0,16518.0,10341.0,69935.0,2436.0,274431.0,134775091.0,32943425.0,2,1
PA,Asylum,438.0,1083.0,621.0,4136.0,118.0,10323.0,7970902.0,1239166.0,1,1
PA,Atglen,480.0,1501.0,903.0,6350.0,86.0,9724.0,12237573.0,1167301.0,1,1
PA,Athens,3865.0,9362.0,5179.0,34523.0,1831.0,172674.0,66532105.0,20728203.0,1,1
PA,Atwood,45.0,94.0,57.0,439.0,20.0,2355.0,845544.0,282721.0,1,1
PA,Auburn,986.0,2464.0,1601.0,10975.0,146.0,15479.0,21150217.0,1858056.0,1,1
PA,Austin,103.0,516.0,127.0,1084.0,51.0,6002.0,1848732.0,720496.0,1,1
PA,Avalon,2519.0,4666.0,2651.0,17075.0,1696.0,190971.0,29110209.0,22924664.0,1,1
PA,Avis,625.0,1522.0,989.0,7231.0,82.0,8555.0,13935568.0,1026907.0,1,1
PA,Avoca,1058.0,2637.0,1322.0,9663.0,579.0,60641.0,18621063.0,7279463.0,1,1
PA,Avondale,374.0,1430.0,705.0,4771.0,118.0,13294.0,9194032.0,1595847.0,1,1
PA,Avonmore,446.0,1023.0,608.0,5202.0,194.0,21846.0,8868060.0,2622489.0,1,1
PA,Ayr,819.0,1863.0,1452.0,12386.0,85.0,6795.0,21116173.0,815729.0,1,1
PA,Baden,1852.0,4061.0,2277.0,14666.0,1465.0,142395.0,25003425.0,17093437.0,1,1
PA,Bald Eagle,750.0,1923.0,1179.0,9053.0,120.0,9616.0,15435106.0,1154313.0,1,1
PA,Baldwin,9262.0,21781.0,11259.0,75225.0,7393.0,729201.0,128249224.0,87535342.0,2,2
PA,Bally,436.0,1107.0,650.0,4821.0,50.0,5512.0,9291026.0,661661.0,1,1
