,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
57955,Garland,75613.0,234810.0,126273.0,1133589.0,22958.0,1903342.0,1517876604.0,228482271.0,TX,-1.3303508854124673,-3.594214198836783,-5.796938614197818
57956,Rowlett,19195.0,59203.0,36464.0,327021.0,8349.0,692247.0,437881782.0,83099232.0,TX,-1.0021487833901492,-1.33069609373361,-1.7322163314825914
57957,Sachse,7257.0,23329.0,13326.0,119501.0,3340.0,278254.0,160011719.0,33402319.0,TX,-1.0046407783449793,-1.0568658234542212,-1.159120869249293
57962,Richardson,41536.0,108350.0,64371.0,576784.0,16617.0,1381173.0,772314852.0,165799776.0,TX,-1.1335995233924634,-1.8783245438956724,-2.829744913263453
57965,Sunnyvale,1759.0,5871.0,3082.0,27623.0,637.0,52792.0,36986930.0,6337329.0,TX,-1.0412703317502476,-1.0051032748618445,-1.0277403087179215
57966,Mesquite,47147.0,143771.0,76112.0,682154.0,14531.0,1204628.0,913405643.0,144606822.0,TX,-1.2142454424486036,-2.1960030058033646,-3.388845945840949
57975,Grand Prairie,58899.0,185631.0,92969.0,833126.0,14283.0,1184134.0,1115557017.0,142146672.0,TX,-1.2951707010864129,-2.6778621319062954,-4.22500483797592
57976,Arlington,134895.0,383899.0,214601.0,1923102.0,24990.0,2071627.0,2575036519.0,248683627.0,TX,-1.6364273440241792,-6.07261223369784,-10.163163973036177
57987,Cedar Hill,15781.0,47457.0,28947.0,259403.0,3402.0,282038.0,347340648.0,33856598.0,TX,-1.06401290813837,-1.3324191394988478,-1.6281284829812326
57988,Mansfield,21318.0,63141.0,39292.0,352108.0,7042.0,583798.0,471473440.0,70080632.0,TX,-1.0192559368337875,-1.4096507665034173,-1.865763143417711
58017,Lake Dallas,2888.0,7575.0,5142.0,46562.0,895.0,74793.0,62346366.0,8978299.0,TX,-0.9996530892450244,-1.0276676424822209,-1.1082262517599202
58018,Hickory Creek,1303.0,3939.0,2304.0,20862.0,361.0,29934.0,27933933.0,3593305.0,TX,-1.0092256460562319,-1.0053286812679978,-1.0393285976456446
58019,Shady Shores,1061.0,2805.0,1922.0,17403.0,421.0,35657.0,23302385.0,4280395.0,TX,-1.0096474547386565,-1.0211620534770651,-1.026044740109705
