city,state_abbr,r_housing_units,r_total_pop,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Millville,PA,384.0,940.0,603.0,4408.0,46.0,5191.0,8494164.0,623131.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Milton,PA,2982.0,6968.0,4001.0,29243.0,1207.0,126385.0,56355203.0,15171604.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mina,PA,521.0,1181.0,486.0,3680.0,229.0,31075.0,6626713.0,3730353.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mineral,PA,233.0,573.0,337.0,2264.0,62.0,7300.0,4362258.0,876336.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Minersville,PA,1850.0,4274.0,2604.0,19032.0,145.0,12723.0,36678220.0,1527343.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Modena,PA,199.0,711.0,306.0,2073.0,41.0,4648.0,3994224.0,557939.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Mohnton,PA,1349.0,3036.0,1861.0,13655.0,429.0,46770.0,26315703.0,5614416.0,1,1,454.8301841,817.4404450000002,46.0,196.0,2288.0,100.0,12217.0,4409071.0,1466581.0,1.0,1.0,,,,,,,,,,,
Monaca,PA,2625.0,5678.0,3227.0,20781.0,1736.0,163823.0,35430245.0,19665794.0,1,1,44632.27737,66819.98689,148.0,4367.0,46512.0,0.0,0.0,6139039.0,0.0,3.0,1.0,101087.11356447623,497625.2445439636,15.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,1.0,1.0
Monaghan,PA,1026.0,2597.0,1874.0,13784.0,90.0,8103.0,26563930.0,972736.0,1,1,,,,,,,,,,,,675.7972464473859,3302.65067068042,25.0,80.0,1157.0,39.0,5209.0,2229051.0,625343.0,1.0,1.0
Monessen,PA,3623.0,7530.0,3794.0,32458.0,2672.0,292951.0,55338040.0,35166647.0,1,1,65714.66881,109935.3316,125.0,1138.0,13177.0,496.0,66053.0,22465119.0,7929151.0,2.0,2.0,106159.08679516203,39969.32,22.0,355.0,5131.0,171.0,23109.0,8747833.0,2774047.0,1.0,1.0
Monongahela,PA,2341.0,5729.0,2941.0,25164.0,1560.0,151518.0,42902117.0,18188601.0,1,1,30330.2356,60421.46342000001,161.0,2196.0,25432.0,843.0,110835.0,43359235.0,13304842.0,2.0,3.0,337.89862322369294,1651.32533534021,94.0,2229.0,32195.0,1073.0,144998.0,54889162.0,17406036.0,2.0,2.0
Monroe,PA,6990.0,18259.0,11731.0,86230.0,1262.0,131183.0,164574760.0,15747492.0,2,1,50330.33484,82776.48681,282.0,3445.0,40610.0,47.0,7021.0,6139039.0,842786.0,3.0,1.0,16788.07308132499,58207.315567860096,50.0,3874.0,55967.25,1864.75,252067.5,107484524.25,30258915.75,3.0,2.0
Monroeville,PA,12596.0,28250.0,16069.0,105391.0,7934.0,893139.0,179680280.0,107214791.0,3,2,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,80735.95226286813,480160.0078654235,229.0,678.0,9253.0,327.5,472662.0,13496294.5,56739670.0,1.0,3.0
Mont Alto,PA,599.0,1736.0,1012.0,8559.0,112.0,9006.0,14592014.0,1081046.0,1,1,4010.791105,8430.118564,18.0,112.0,1299.0,60.0,7640.0,2214314.0,917085.0,1.0,1.0,4000.507252340294,15405.540376504476,4.0,116.0,1677.0,56.0,7555.0,2859764.0,906867.0,1.0,1.0
Montague,PA,1549.0,3830.0,2288.0,16216.0,159.0,19477.0,31249780.0,2338056.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Montgomery,PA,12607.0,33603.0,24155.0,148728.62,4869.0,540587.0,222856152.36,64893494.0,3,1,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7649.32,39969.32,50.0,678.0,9253.0,327.5,435218.0,13496294.5,52244663.0,1.0,3.0
Montour,PA,588.0,1439.0,1006.0,7355.0,117.0,13354.0,14174279.0,1603005.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Montoursville,PA,1918.0,4572.0,2595.0,18966.0,735.0,83629.0,36549600.0,10039063.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Montrose,PA,800.0,1749.0,1229.0,8189.0,129.0,12135.0,15781347.0,1456748.0,1,1,5673.483871,8612.467397,97.0,1847.0,18393.0,0.0,0.0,35445814.0,0.0,2.0,1.0,1032.3837732611082,7298.635660107991,65.0,515.0,7444.0,248.0,33528.0,14346399.0,4024769.0,1.0,1.0
Moon,PA,9784.0,23838.0,13167.0,84791.0,6605.0,723179.0,144560143.0,86812369.0,2,2,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,,,,,,,,,,,
Moore,PA,3539.0,9163.0,6020.0,44177.0,462.0,45734.0,85135376.0,5490056.0,1,1,,,,,,,,,,,,,,,,,,,,,,
