,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
43588,Cromwell,29.0,122.0,1335.25,47.25,7775.5,1445194.25,933370.25,IA
43589,Cumberland,13.0,53.0,580.0,18.0,2986.0,627927.0,358395.0,IA
43590,Diagonal,10.0,52.0,566.0,19.0,2997.0,613126.0,359759.0,IA
43591,Fontanelle,22.0,107.0,1173.0,46.0,7126.0,1269213.0,855368.0,IA
43592,Grant,1.0,7.0,77.0,2.0,380.0,83461.0,45606.0,IA
43593,Gravity,3.0,9.0,95.0,3.0,451.0,103264.0,54143.0,IA
43594,Greenfield,82.0,402.0,4407.0,171.0,26777.0,4769512.0,3214342.0,IA
43595,Lenox,62.0,281.0,3078.0,106.0,17625.0,3331090.0,2115728.0,IA
43596,Massena,17.0,70.0,762.0,24.0,3923.0,825124.0,470947.0,IA
43597,Tingley,2.0,13.0,139.0,5.0,734.0,150110.0,88078.0,IA
43598,Mount Ayr,93.0,508.0,5564.0,269.0,40499.0,6021934.0,4861638.0,IA
43599,Delphos,26.25,142.75,1562.0,72.75,11037.0,1690333.0,1324914.0,IA
43600,Nodaway,1.0,3.0,35.0,1.0,210.0,37628.0,25201.0,IA
43601,Orient,9.0,47.0,510.0,16.0,2705.0,551660.0,324739.0,IA
43602,Prescott,3.0,14.0,152.0,4.0,686.0,165044.0,82376.0,IA
43603,Redding,4.0,19.5,211.5,6.75,1110.0,228994.0,133236.25,IA
43604,Delphos,4.0,19.5,211.5,6.75,1110.0,228994.0,133236.25,IA
43605,Shannon City,2.0,9.0,97.0,4.0,550.0,105056.0,65989.0,IA
43606,Sharpsburg,2.0,8.0,87.0,3.0,499.0,94216.0,59841.0,IA
43608,Villisca,40.0,182.0,1990.0,63.0,10486.0,2153976.0,1258751.0,IA
43610,Akron,31.0,141.0,1543.0,40.0,6811.0,1670375.0,817654.0,IA
43611,Chatsworth,1.0,6.0,64.0,2.0,284.0,69263.0,34117.0,IA
43612,Alta,37.0,164.0,1791.0,84.0,13884.0,1938720.0,1666713.0,IA
43613,Alton,35.0,189.0,2064.0,67.0,11141.0,2234044.0,1337434.0,IA
43614,Anthon,18.0,90.0,983.0,32.0,5393.0,1063522.0,647348.0,IA
43615,Aurelia,20.0,79.0,870.0,31.0,5157.0,942111.0,619018.0,IA
43616,Battle Creek,19.0,93.0,1017.0,27.0,4645.0,1101253.0,557580.0,IA
43617,Bronson,7.0,36.0,389.0,12.0,2001.0,421031.0,240173.0,IA
43618,Brunsville,7.0,30.0,330.0,9.0,1457.0,357353.0,174926.0,IA
43619,Calumet,10.0,51.0,554.0,17.0,2858.0,599310.0,343026.0,IA
43620,Castana,6.0,34.0,372.0,9.0,1533.0,402747.0,184078.0,IA
43622,Cherokee,163.0,1431.0,15664.0,451.0,74557.0,16954572.0,8950023.0,IA
43623,Cleghorn,7.0,32.0,348.0,10.0,1688.0,376653.0,202633.0,IA
43624,Meriden,4.0,21.0,226.0,7.0,1096.0,244487.0,131530.0,IA
43625,Correctionville,18.0,88.0,963.0,31.0,5287.0,1042708.0,634679.0,IA
43626,Cushing,4.0,22.0,237.0,8.0,1298.0,255984.0,155813.0,IA
43627,Danbury,14.0,67.0,732.0,24.0,4020.0,792762.0,482541.0,IA
43628,Galva,8.0,41.0,453.0,12.0,1905.0,490279.0,228671.0,IA
43629,Granville,12.0,62.0,679.0,22.0,3665.0,734992.0,440011.0,IA
43630,Hawarden,69.0,422.0,4622.0,121.0,20526.0,5002390.0,2464036.0,IA
43632,Hinton,16.0,76.0,829.0,23.0,3957.0,897748.0,474951.0,IA
43633,Holstein,82.0,412.0,4515.0,115.0,18989.0,4887193.0,2279435.0,IA
43634,Hornick,5.0,27.0,293.0,8.0,1412.0,316699.0,169465.0,IA
43635,Craig,3.0,13.0,139.0,4.0,614.0,150482.0,73661.0,IA
43636,Ireton,10.0,96.0,1055.0,28.0,4610.0,1141543.0,553423.0,IA
43637,Kingsley,41.0,247.0,2700.0,71.0,11706.0,2922422.0,1405195.0,IA
43638,Larrabee,8.0,41.0,453.0,15.0,2528.0,490109.0,303437.0,IA
43639,Lawton,13.0,67.0,732.0,22.0,3763.0,791786.0,451665.0,IA
43640,Le Mars,211.0,2349.0,25720.0,625.0,106293.0,27838426.0,12759726.0,IA
43641,Oyens,2.0,10.0,112.0,3.0,487.0,121135.0,58503.0,IA
43642,Struble,3.0,15.0,163.0,4.0,710.0,176444.0,85216.0,IA
43645,Linn Grove,3.0,16.0,172.0,5.0,904.0,186525.0,108577.0,IA
43646,Mapleton,46.0,247.0,2699.0,65.0,11123.0,2921501.0,1335290.0,IA
43647,Marcus,25.0,127.0,1388.0,47.0,7699.0,1502410.0,924265.0,IA
43648,Maurice,10.0,56.0,608.0,20.0,3280.0,657709.0,393744.0,IA
43650,Merrill,12.0,57.0,626.0,18.0,2986.0,677480.0,358419.0,IA
43651,Moville,35.0,186.0,2039.0,62.0,10489.0,2207318.0,1259140.0,IA
43652,Turin,9.0,47.0,516.0,12.0,2127.0,558548.0,255288.0,IA
43653,Onawa,94.0,616.0,6743.0,263.0,45241.0,7298818.0,5430795.0,IA
43654,Orange City,169.0,1429.0,15646.0,512.0,84676.0,16934811.0,10164790.0,IA
43656,Oto,8.0,39.0,423.0,12.0,2042.0,458203.0,245183.0,IA
43658,Paullina,47.0,235.0,2571.0,80.0,13270.0,2783215.0,1593024.0,IA
43659,Peterson,11.0,44.0,478.0,32.0,5223.0,517445.0,627003.0,IA
43660,Pierson,12.0,59.0,641.0,21.0,3516.0,693403.0,422063.0,IA
43661,Quimby,5.0,20.0,216.0,8.0,1283.0,234316.0,153958.0,IA
43662,Remsen,45.0,253.0,2776.0,73.0,12087.0,3004245.0,1450932.0,IA
43663,Rodney,6.0,33.0,356.0,9.0,1469.0,385812.0,176338.0,IA
43664,Salix,3.0,16.0,174.0,5.0,838.0,188084.0,100644.0,IA
43665,Schaller,37.0,189.0,2072.0,64.0,10664.0,2243115.0,1280094.0,IA
43666,Sergeant Bluff,72.0,359.0,3934.0,122.0,20815.0,4258235.0,2498716.0,IA
43667,Sioux City,1383.0,15214.0,166592.0,4029.0,685604.0,180312978.0,82301729.0,IA
43668,Dakota City,14.0,995.0,11203.0,24.0,4118.0,12125861.0,494302.0,IA
43669,Sloan,20.0,98.0,1077.0,31.0,5195.0,1165380.0,623592.0,IA
43670,Smithland,3.0,13.0,146.0,4.0,704.0,158040.0,84567.0,IA
43672,Sutherland,19.0,94.0,1034.0,32.0,5338.0,1119545.0,640792.0,IA
43673,Ute,15.0,69.0,752.0,24.0,4090.0,813463.0,490992.0,IA
43674,Washta,4.0,16.0,177.0,5.0,861.0,192078.0,103334.0,IA
43675,Westfield,3.0,14.0,152.0,4.0,725.0,164400.0,86975.0,IA
43676,Whiting,14.0,78.0,858.0,25.0,4329.0,928670.0,519660.0,IA
43678,South Sioux City,224.0,7708.0,82105.0,407.0,70930.0,88867011.0,8514627.0,IA
43687,North Sioux City,56.0,855.0,11559.0,671.0,130617.0,12510679.0,15679611.0,IA
43690,Matlock,3.0,11.0,123.0,4.0,622.0,132826.0,74607.0,IA
43691,Sheldon,176.0,1269.0,13898.0,514.0,85071.0,15042282.0,10212124.0,IA
43692,Alvord,5.0,25.0,271.0,8.0,1398.0,293594.0,167868.0,IA
43693,Archer,4.0,17.0,188.0,6.0,1052.0,203016.0,126316.0,IA
43694,Ashton,8.0,38.0,417.0,12.0,2037.0,451819.0,244558.0,IA
43695,Boyden,32.0,135.0,1483.0,45.0,7512.0,1605436.0,901762.0,IA
43696,Doon,23.0,109.0,1198.0,37.0,6174.0,1296256.0,741160.0,IA
43697,George,34.0,185.0,2028.0,67.0,11121.0,2194814.0,1334971.0,IA
43698,Hospers,10.0,42.0,462.0,14.0,2342.0,500513.0,281135.0,IA
43699,Hull,52.0,273.0,2984.0,198.0,32921.0,3229648.0,3951981.0,IA
