city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Mount Laurel,NJ,1162047.0587779046,1956484.2735237032,612.0,16911.0,140193.0,2217.0,306359.0,270171769.0,36776191.0
Mount Lebanon,PA,207588.21304570552,465913.8974338919,646.0,8830.0,94044.0,2839.0,383498.0,160335581.0,46036150.0
Mount Morris,IL,4462.573041071316,6890.65081513299,55.0,289.0,3310.0,242.0,40053.0,5642934.0,4808018.0
Mount Morris,MI,4559.762541238284,8175.2377049092,70.0,991.0,8340.0,309.0,47394.0,10885954.0,5689277.0
Mount Morris,NY,29539.854441052812,42823.809978786274,116.0,1016.0,9130.0,352.0,69755.0,16438244.0,8373626.0
Mount Olive,IL,2743.565089512347,3560.0195684040023,30.0,335.0,3771.0,0.0,0.0,3852444.0,0.0
Mount Olive,MS,5779.8555113458315,6769.121730801082,13.0,118.0,1484.0,17.0,2259.0,2355562.0,271221.0
Mount Olive,NJ,481983.241523689,733843.485870883,367.0,15351.0,131184.0,3733.0,386866.0,252809162.0,46440378.0
Mount Oliver,PA,1804.1287991459367,3085.620030653052,101.0,880.0,9367.0,293.0,39623.0,15970147.0,4756391.0
Mount Olivet,KY,1818.67384503615,3547.5534051712707,11.0,111.0,1191.0,16.0,2035.0,1996055.0,244268.0
Mount Orab,OH,33515.588167493464,57594.327020483346,118.0,941.0,10640.0,220.0,29828.0,18140017.0,3580684.0
Mount Penn,PA,1665.9104136953229,3130.548247545436,58.0,308.0,3201.0,187.0,22990.0,6169491.0,2759741.0
Mount Pleasant,AR,567.5005846783596,906.8197178016117,3.0,18.0,221.0,4.0,562.0,352397.0,67493.0
Mount Pleasant,IA,43040.41614351144,102304.04155913145,166.0,3850.0,42154.0,990.0,148852.0,43064723.0,17868537.0
Mount Pleasant,MI,50563.58616543181,93808.24554295199,438.0,9967.0,83839.0,2172.0,332956.0,109430508.0,39968920.0
Mount Pleasant,NY,1806135.267476342,3432367.4894578024,992.0,29632.0,179704.0,4096.0,767555.0,269268864.0,92139357.0
Mount Pleasant,OH,1727.3254700515754,1896.7262692801974,17.0,126.0,1246.0,0.0,4.0,2123611.0,446.0
Mount Pleasant,PA,67701.8676889684,107398.40346449935,366.0,3189.0,36675.0,774.0,98625.0,63897723.0,11839182.0
