zip,city,city_vmt_estimate,natl_avg_vmt_estimate,natl_per_capita_vmt_estimate
01089,Agawam Town,173181550,75422411,7555
01089,Westfield,244329883,75422411,7555
01089,Holyoke,369352827,75422411,7555
01089,Chicopee,832737316,75422411,7555
01089,Springfield,1093522169,75422411,7555
01092,Palmer Town,201477532,75422411,7555
01092,Brimfield,80445383,75422411,7555
01092,Warren,90853533,75422411,7555
01094,Hardwick,11037130,75422411,7555
01095,Monson,23392629,75422411,7555
01095,Palmer Town,201477532,75422411,7555
01095,East Longmeadow,90865209,75422411,7555
01095,Ludlow,182389354,75422411,7555
01095,Hampden,14584108,75422411,7555
01095,Springfield,1093522169,75422411,7555
01095,Wilbraham,90935456,75422411,7555
01096,Conway,8931146,75422411,7555
01096,Chesterfield,4660017,75422411,7555
01096,Goshen,10536988,75422411,7555
01096,Northampton,244998726,75422411,7555
01096,Ashfield,8818513,75422411,7555
01096,Westhampton,3998516,75422411,7555
01096,Williamsburg,22810955,75422411,7555
01098,Middlefield,1763027,75422411,7555
01098,Chesterfield,4660017,75422411,7555
01098,Huntington,11280576,75422411,7555
01098,Worthington,5096694,75422411,7555
01098,Windsor,13096326,75422411,7555
01098,Peru,2898208,75422411,7555
01098,Cummington,11988201,75422411,7555
01098,Chester,8886866,75422411,7555
01103,West Springfield Town,287461413,75422411,7555
01103,Springfield,1093522169,75422411,7555
01104,West Springfield Town,287461413,75422411,7555
01104,Chicopee,832737316,75422411,7555
01104,Springfield,1093522169,75422411,7555
01105,West Springfield Town,287461413,75422411,7555
01105,Agawam Town,173181550,75422411,7555
01105,Springfield,1093522169,75422411,7555
01106,Enfield,452601298,75422411,7555
01106,East Longmeadow,90865209,75422411,7555
01106,Longmeadow,167949164,75422411,7555
01106,Springfield,1093522169,75422411,7555
01107,West Springfield Town,287461413,75422411,7555
01107,Chicopee,832737316,75422411,7555
01107,Springfield,1093522169,75422411,7555
01108,East Longmeadow,90865209,75422411,7555
01108,Longmeadow,167949164,75422411,7555
01108,Springfield,1093522169,75422411,7555
01109,Springfield,1093522169,75422411,7555
01118,East Longmeadow,90865209,75422411,7555
01118,Springfield,1093522169,75422411,7555
01119,Springfield,1093522169,75422411,7555
01128,East Longmeadow,90865209,75422411,7555
01128,Springfield,1093522169,75422411,7555
01129,Springfield,1093522169,75422411,7555
01129,Wilbraham,90935456,75422411,7555
01151,Ludlow,182389354,75422411,7555
01151,Chicopee,832737316,75422411,7555
01151,Springfield,1093522169,75422411,7555
01151,Wilbraham,90935456,75422411,7555
01201,Lenox,63369312,75422411,7555
01201,Pittsfield,204187483,75422411,7555
01201,Richmond,8584603,75422411,7555
01201,Stephentown,15400631,75422411,7555
01201,Canaan,73927117,75422411,7555
01201,New Lebanon,23130252,75422411,7555
01201,Hancock,10745559,75422411,7555
01201,Dalton,29947197,75422411,7555
01201,Lanesborough,38446901,75422411,7555
01220,Savoy,6105746,75422411,7555
01220,Cheshire,46993462,75422411,7555
01220,North Adams,65061671,75422411,7555
01220,New Ashford,5270100,75422411,7555
01220,Adams,32959025,75422411,7555
01222,Salisbury,28596083,75422411,7555
01222,North Canaan,26578690,75422411,7555
01222,New Marlborough,5696300,75422411,7555
01222,Sheffield,28801997,75422411,7555
