city,state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
North East,MA,2799.8313860813105,20162.79397790122,40.0,340.0,5639.0,145.0,24569.0,10153966.0,2949336.0,Normal,Normal
North East,NY,40929.74865504899,216607.11939629595,50.0,1687.0,25100.0,794.0,112218.0,47658747.0,13471006.0,High,Normal
North East,PA,14237.659471023484,61253.25541671456,50.0,3089.0,44628.0,1488.0,200994.0,86004601.0,24127912.0,High,High
North Elba,NY,7407.375451347823,39900.853505192616,33.0,108.0,1797.0,46.0,7831.0,3236232.0,940001.0,Normal,Normal
North Fayette,PA,111964.43050109381,711140.5842770559,197.0,6017.0,86931.0,2897.0,391517.0,13496294.5,46998750.0,Very High,Very High
North Franklin,PA,168.94931161184647,825.662667670105,15.0,545.0,7875.0,262.0,35467.0,13426197.0,4257614.0,Normal,Normal
North Greenbush,NY,844.7465580592324,4128.313338350525,26.0,33.0,548.0,14.0,2389.0,987149.0,286729.0,Normal,Normal
North Haledon,NJ,4537.186066666974,28618.713202994237,24.0,123.0,1210.0,67.0,10109.0,2332544.0,1213488.0,Normal,Normal
North Hampton,NH,53003.106569397365,329529.7669146584,39.0,251.0,2032.0,74.0,8587.0,2204751.0,1030840.0,Normal,Normal
North Hanover,NJ,13053.96023220037,65819.79964003856,40.0,148.0,1453.0,80.0,12134.0,2799786.0,1456567.0,Normal,Normal
North Harmony,NY,1159.5681083848378,4607.8457889107785,50.0,142.0,2347.0,61.0,10224.0,4225281.0,1227281.0,Normal,Normal
North Haven,CT,7649.32,39969.32,193.0,5280.0,41187.0,1801.0,296633.0,44699052.0,35608636.0,High,High
North Haven,ME,2667.0048348935293,10270.360251002983,6.0,18.0,201.0,10.0,1325.0,217988.0,159095.0,Normal,Normal
North Hempstead,NY,7649.32,39969.32,50.0,6480.0,9253.0,2771.0,468106.0,13496294.5,56192717.0,Normal,Very High
North Hopewell,PA,1013.6958696710788,4953.97600602063,33.0,265.0,3823.0,127.0,17218.0,7367495.0,2066893.0,Normal,Normal
North Huntingdon,PA,7649.32,39969.32,187.0,2572.0,37161.0,1238.0,167363.0,63355228.0,20090731.0,High,High
North Kingsville,OH,506.8479348355394,2476.988003010315,40.0,43.0,620.0,16.0,3392.0,1056332.0,407236.0,Normal,Normal
North Las Vegas,NV,7649.32,39969.32,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,Normal,Normal
North Lebanon,PA,39850.699841669,236109.0400294218,52.0,1423.0,20557.0,685.0,92582.0,39615575.0,11113837.0,High,Normal
North Little Rock,AR,7649.32,39969.32,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,Normal,Normal
North Logan,UT,29380.266271694232,168769.69304985355,57.0,556.0,8784.0,204.0,36876.0,10834264.0,4426671.0,Normal,Normal
North Londonderry,PA,4878.235175728467,26748.58703783697,26.0,264.0,3821.0,127.0,17208.0,7363353.0,2065731.0,Normal,Normal
North Mahoning,PA,1292.5351422033348,2788.2486106570777,50.0,678.0,9796.0,326.0,44117.0,18877442.0,5295917.0,Normal,Normal
North Mankato,MN,19471.745300367347,153007.58008525902,85.0,4794.0,65038.0,2091.0,499101.0,70395239.0,59913428.0,Very High,Very High
North Miami,OK,4917.230972190102,35870.123949121764,3.0,9.0,181.0,16.0,1929.0,325875.0,231621.0,Normal,Normal
North Middleton,PA,14813.670672670236,126811.71835350196,32.0,675.0,9755.0,325.0,43932.0,18798452.0,5273757.0,Normal,Normal
North Newton,KS,241.88543096872613,652.5975591151793,6.0,33.0,437.0,18.0,4746.0,787219.0,569701.0,Normal,Normal
North Norwich,NY,599.677358132473,1421.6261150123364,13.0,127.0,2107.0,54.0,9179.0,3793538.0,1101877.0,Normal,Normal
North Oaks,MN,5690.834804326263,13401.823333286762,12.0,19.0,252.0,8.0,1933.0,272696.0,232091.0,Normal,Normal
North Ogden,UT,3255.6355078533693,11891.95064917489,49.0,351.0,5555.0,129.0,23322.0,6852032.0,2799608.0,Normal,Normal
North Olmsted,OH,31906.20275949325,192122.87333812664,247.0,743.0,10651.0,281.0,58318.0,18159003.0,7000642.0,Normal,Normal
North Perry,OH,1084.6604731565274,3957.8711039067043,50.0,101.0,1445.0,38.0,7910.0,2463085.0,949566.0,Normal,Normal
North Plainfield,NJ,15741.419275555703,68713.26160127473,42.0,83.0,819.0,45.0,6840.0,1578355.0,821127.0,Normal,Normal
North Plains,OR,337.89862322369294,1651.32533534021,15.0,1323.0,21866.0,570.0,99509.0,26969775.0,11945349.0,High,Normal
North Platte,NE,6213.52721262838,49278.30282699208,121.0,1517.0,19723.0,650.0,160948.0,21347570.0,19320655.0,High,High
North Pole,AK,10774.30927470256,188395.95969823533,11.0,678.0,83071.0,1295.0,255991.0,114596191.0,30729876.0,Very High,High
North Prairie,WI,25665.92832412749,170922.33462612893,25.0,235.0,3141.0,95.0,18715.0,5355363.0,2246542.0,Normal,Normal
North Providence,RI,7649.32,565311.7742790696,85.0,445.0,3302.0,319.0,36620.0,3583107.0,4395964.0,Normal,Normal
North Reading,MA,33225.62892338068,108285.84024074565,48.0,1113.0,8324.0,375.0,50699.0,9034220.0,6086102.0,Normal,Normal
North Richland Hills,TX,108021.85828518057,39969.32,254.0,3517.0,66005.0,2545.0,57984.5,88380442.0,6960624.5,Very High,Normal
North Ridgeville,OH,7649.32,444699.27218200633,191.0,1884.0,27003.0,711.0,147851.0,46037785.0,17748444.0,High,High
North Riverside,IL,899.5160371987096,2132.4391725185046,39.0,88.0,1353.0,40.0,7897.0,2306488.0,947944.0,Normal,Normal
North Royalton,OH,7649.32,39969.32,50.0,2204.0,31590.0,832.0,172962.0,53856951.0,20762882.0,High,High
North Salem,CT,3502.222306891856,33823.87894053905,44.0,31.0,519.0,13.0,2260.0,934000.0,271291.0,Normal,Normal
North Salem,NY,28017.77845513485,270591.0315243124,44.0,31.0,519.0,13.0,2260.0,934000.0,271291.0,Normal,Normal
North Sewickley,PA,675.7972464473859,3302.65067068042,18.0,114.0,1644.0,55.0,7402.0,2802053.0,888566.0,Normal,Normal
North Sioux City,IA,863.4344616492618,6472.972992437884,21.0,216.0,2857.0,216.0,45264.0,3092102.0,5433618.0,Normal,Normal
North Sioux City,SD,1726.8689232985237,12945.945984875769,21.0,216.0,2857.0,216.0,45264.0,3092102.0,5433618.0,Normal,Normal
North Smithfield,MA,42689.06494317565,242582.77854829785,62.0,721.0,5352.0,516.0,59357.0,5807817.0,7125367.0,Normal,Normal
North Smithfield,RI,99607.8182007432,566026.4832793614,62.0,721.0,5352.0,516.0,59357.0,5807817.0,7125367.0,Normal,Normal
North St. Paul,MN,1929.6588542785746,4873.521151977306,41.0,1087.0,14750.0,474.0,113190.0,15964814.0,13587662.0,Normal,Normal
North Stonington,CT,19644.761661282293,60431.871444134864,43.0,300.0,2342.0,102.0,16867.0,2541625.0,2024737.0,Normal,Normal
North Stonington,RI,8419.183569120982,25899.373476057797,43.0,300.0,2342.0,102.0,16867.0,2541625.0,2024737.0,Normal,Normal
North Strabane,PA,44503.64235403095,294304.76133707014,121.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,Normal,Normal
