,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
7454,159358.5713100836,1966928.0348590326,172.0,53516.0,1054308.0,95800.0,30803908.0,1682300456.0,3697784054.0,3053462105.651511,1.6397243200938807
1981,164570.9238869273,2167490.325868424,78.0,353.0,2636.0,119.0,16057.0,2861254.0,1927547.0,2106945.917574743,1.6877022816552147
4452,156944774.29439095,981295768.820366,24184.0,272799.0,2288471.0,236074.0,34767844.0,3064284770.0,4173625595.0,3988568323.92265,1.693601058342683
429,30871.13083197488,289209.8781594217,5.0,19.0,153.0,6.0,646.0,165776.0,77509.0,292199.08336683636,1.69517614317415
5587,168.94931161184647,825.662667670105,9.0,206150.0,2955936.0,117846.0,23616416.0,5039555590.0,2834978098.0,4239258941.817204,1.6955591009322648
449,327629.0765972614,2699726.85489036,856.0,57453.0,1131868.0,102848.0,33070013.0,1806059720.0,3969813366.0,3319516998.740968,1.7173482640585636
414,63489.45403033037,1108856.2355550209,36.0,139.0,1040.0,47.0,6337.0,1129143.0,760672.0,1088412.2105325689,2.1352130403425376
2742,72888.38452076918,1287885.9694738341,30.0,148.0,1158.0,51.0,8336.0,1256197.0,1000725.0,1276027.956384864,2.17250527462609
1136,211977.3908685712,1140080.3518009232,48.0,44.0,730.0,19.0,3180.0,1314309.0,381756.0,1138566.061420077,2.348299678673561
1861,20890283.566466328,152543344.71503368,5837.0,156902.0,2944917.0,113531.0,42841934.0,3943247772.0,5142861016.0,5096557151.405272,2.3758994664101074
3367,237494.77441088203,2732664.6449958743,88.0,120.0,1986.0,51.0,8653.0,3576048.0,1038704.0,2657282.597267356,2.3764950138715486
3287,104378.53665298656,523844.2871820452,17.0,19.0,190.0,10.0,1588.0,366415.0,190624.0,522704.571006366,2.4007026587793456
3004,48793.53854261501,704539.0941083592,18.0,56.0,455.0,17.0,1924.0,494028.0,230985.0,686529.6782705599,2.468577327714751
3571,6794300.559648645,47626527.9422481,2683.0,530161.0,2562676.0,5859.0,373179.0,5064554321.0,44797355.0,3986592520.8684077,2.58695237729322
6010,198478.89327819165,2903394.6319195093,16.0,130.0,1280.0,70.0,10689.0,2466402.0,1283126.0,2766530.6857542484,2.7581339657047437
3872,10361.213539791142,77675.67590925457,4896.5,606163.5,2930054.0,6699.0,426676.75,5560059345.5,51219387.0,4453046647.602527,2.759313555479711
4610,142262.36162208728,2459881.090756772,32.0,78.0,1292.0,33.0,5630.0,2326866.0,675865.0,2377141.793349115,2.795227417504587
3420,15094289.41481686,94416855.04936329,2506.0,5231.0,86739.0,2237.0,377896.0,161821519.0,45363698.0,97513107.23929337,3.1061907297605496
1422,3739462.9103138936,25539202.92852601,8648.0,285518.0,4386519.0,128790.0,25604317.0,7478548883.0,3073611091.0,6538667640.018535,3.2853709386285592
1421,48613017.83408063,332009638.0708381,8648.0,285518.0,4386519.0,128790.0,25604317.0,7478548883.0,3073611091.0,6547181060.562288,3.2912012462125375
6045,30117.7363054304,548491.3111216505,10.0,18.0,201.0,10.0,1326.0,218057.0,159146.0,542598.2878824202,3.3724551975522736
4581,116790.04463314652,1224030.5680762485,20.0,77.0,625.0,23.0,2640.0,677811.0,316913.0,1194925.7822280547,3.5716762947501106
622,205755.19466506413,3212904.834278746,28.0,107.0,1051.0,58.0,8778.0,2025383.0,1053690.0,3078673.313480813,3.641731115198051
1963,40264.35486481871,648881.0842557196,6.0,9.0,112.0,14.0,1565.0,216653.0,187844.0,641692.3175124262,3.930430908903869
5857,143410.07654848814,2111174.4717872767,46.0,135.0,1090.0,40.0,4609.0,1183279.0,553246.0,2031441.2090721661,3.9874235630722055
5728,70274.71804600426,1279813.0592838512,19.0,20.0,200.0,11.0,1666.0,384496.0,200031.0,1247630.3538269605,4.9844043533175935
8211,60235.4726108608,1096982.622243301,16.0,12.0,136.0,7.0,897.0,147562.0,107696.0,1084477.791780802,6.850741376722668
3617,55312208.47491186,419566641.61693823,14747.0,530023.0,9948073.0,383514.0,144722117.0,13320481119.0,17372832501.0,20448368940.02277,13.779848549936359
